ID,Name,Category,Subcategory,Region,Status,Primary_Source,Description
B001,Algerian Braille,Braille Systems,Africa and Middle East,Algeria,Obsolete,https://en.wikipedia.org/wiki/Algerian_Braille,Reordered system (obsolete)
B002,Amharic Braille (Ethiopian / Ge'ez Script),Braille Systems,Africa and Middle East,Ethiopia,Active,https://en.wikipedia.org/wiki/Ge%CA%BDez_Braille,Adapted for Amharic and other Ethiopian Semitic languages using the Ge'ez syllabary
B003,Arabic Braille,Braille Systems,Africa and Middle East,Middle East/North Africa,Active,https://en.wikipedia.org/wiki/Arabic_Braille,Uses French sorting order; adapted for right-to-left reading
B004,Bambara Braille,Braille Systems,Africa and Middle East,Mali,Active,https://www.perkins.org/resource/world-braille-usage/,Mali
B005,Chichewa/Nyanja Braille,Braille Systems,Africa and Middle East,Malawi/Zambia/Mozambique,Active,https://www.perkins.org/resource/world-braille-usage/,Malawi Zambia Mozambique
B006,Fulfulde/Pulaar Braille,Braille Systems,Africa and Middle East,West Africa,Active,https://www.perkins.org/resource/world-braille-usage/,West Africa (cross-border)
B007,Ghanaian Braille,Braille Systems,Africa and Middle East,Ghana,Active,https://en.wikipedia.org/wiki/Ghanaian_braille,Based on French-ordered Braille
B008,Hausa Braille,Braille Systems,Africa and Middle East,Nigeria,Active,https://en.wikipedia.org/wiki/Nigerian_braille#Hausa_Braille,Adapted for Hausa alphabet
B009,Hebrew Braille,Braille Systems,Africa and Middle East,Israel,Active,https://en.wikipedia.org/wiki/Hebrew_Braille,Adapted for Hebrew alphabet with distinct vowel markings (niqqud)
B010,Kikuyu Braille,Braille Systems,Africa and Middle East,Kenya,Active,https://www.perkins.org/resource/world-braille-usage/,Kenya
B011,Kinyarwanda Braille,Braille Systems,Africa and Middle East,Rwanda,Active,https://www.perkins.org/resource/world-braille-usage/,Rwanda; based on Latin alphabet
B012,Kirundi Braille,Braille Systems,Africa and Middle East,Burundi,Active,https://www.perkins.org/resource/world-braille-usage/,Burundi; closely related to Kinyarwanda
B013,Lingala Braille,Braille Systems,Africa and Middle East,DR Congo,Active,https://www.perkins.org/resource/world-braille-usage/,DR Congo; major lingua franca
B014,Luganda Braille,Braille Systems,Africa and Middle East,Uganda,Active,https://www.perkins.org/resource/world-braille-usage/,Uganda
B015,Malagasy Braille,Braille Systems,Africa and Middle East,Madagascar,Active,https://www.perkins.org/resource/world-braille-usage/,Madagascar
B016,Mauritian Creole Braille,Braille Systems,Africa and Middle East,Mauritius,Active,https://www.perkins.org/resource/world-braille-usage/,Mauritius
B017,N'Ko Braille,Braille Systems,Africa and Middle East,West Africa,Active,https://www.perkins.org/resource/world-braille-usage/,West African script for Mande languages; unique indigenous script
B018,Nigerian Braille,Braille Systems,Africa and Middle East,Nigeria,Active,https://en.wikipedia.org/wiki/Nigerian_braille,Based on French-ordered Braille; includes Hausa Igbo and Yoruba
B019,Oromo Braille,Braille Systems,Africa and Middle East,Ethiopia,Active,https://www.perkins.org/resource/world-braille-usage/,Ethiopia; Latin-based adaptation
B020,Shona Braille,Braille Systems,Africa and Middle East,Zimbabwe,Active,https://www.perkins.org/resource/world-braille-usage/,Zimbabwe; Latin-based
B021,Somali Braille,Braille Systems,Africa and Middle East,Somalia,Active,https://www.perkins.org/resource/world-braille-usage/,Uses Latin alphabet; East Africa
B022,South African Braille,Braille Systems,Africa and Middle East,South Africa,Active,https://en.wikipedia.org/wiki/South_African_braille,Based on English Braille; includes Afrikaans Sesotho Tswana Venda Xhosa and Zulu
B023,Swahili Braille,Braille Systems,Africa and Middle East,East Africa,Active,https://en.wikipedia.org/wiki/Swahili_Braille,Based on Latin alphabet (East Africa)
B024,Tigrinya Braille,Braille Systems,Africa and Middle East,Eritrea/Ethiopia,Active,https://www.perkins.org/resource/world-braille-usage/,Eritrea/Ethiopia; Ge'ez script family
B025,Tsonga Braille,Braille Systems,Africa and Middle East,South Africa/Mozambique,Active,https://www.perkins.org/resource/world-braille-usage/,South Africa/Mozambique
B026,Wolof Braille,Braille Systems,Africa and Middle East,Senegal,Active,https://www.perkins.org/resource/world-braille-usage/,Senegal
B027,Zambian Braille,Braille Systems,Africa and Middle East,Zambia,Active,https://en.wikipedia.org/wiki/Zambian_Braille,Based on French-ordered Braille
